productID,category,name,offeringDetails,keyBenefits,price,isRecurring,description,specifications,availableLocations,validityPeriod
1,prepaid,Prepaid 4G 1GB Daily,"{""plan"": {""data"": ""1GB"", ""validity"": ""30 days"", ""price"": 199}, ""device"": null}","1GB daily data, 30-day validity, ideal for light usage",199,FALSE,1 GB daily data plan with limited validity.,"{""techSpecifications"": """", ""rules"": ""Valid 4G‑compatible SIM required, Service area coverage verification mandatory"", ""staticIPSupported"": false, ""productEquipments"": [26]}","""[1,2,3,4,5,6,7,8,9,10,11,12,15,16,18,19]""",30
2,prepaid,Prepaid 4G 2GB Daily,"{""plan"": {""data"": ""2GB"", ""validity"": ""30 days"", ""price"": 299}, ""device"": null}","2GB daily data, smooth streaming, social media friendly",299,FALSE,2 GB daily data plan for moderate users.,"{""techSpecifications"": """", ""rules"": ""Valid 4G‑compatible SIM required, Service area coverage verification mandatory"", ""staticIPSupported"": false, ""productEquipments"": [26]}","""[2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18]""",30
3,prepaid,Prepaid 4G 3GB Daily,"{""plan"": {""data"": ""3GB"", ""validity"": ""30 days"", ""price"": 399}, ""device"": null}","3GB daily data, heavy usage support, worry-free browsing",399,FALSE,3 GB daily data plan with validity of 30 days.,"{""techSpecifications"": """", ""rules"": ""Valid 4G‑compatible SIM required, Service area coverage verification mandatory"", ""staticIPSupported"": false, ""productEquipments"": [26]}","""[1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20]""",30
4,prepaid,Prepaid 5G 1GB Daily,"{""plan"": {""data"": ""1GB"", ""validity"": ""30 days"", ""price"": 349}, ""device"": null}","5G connectivity, daily data, faster speeds",349,FALSE,Entry-level 5G daily plan.,"{""techSpecifications"": """", ""rules"": ""Valid 5G‑compatible SIM required, Device capable of 5G recommended"", ""staticIPSupported"": false, ""productEquipments"": [27]}","""[1,3,4,6,7,8,9,10,12,13,14,16,17,18,19]""",30
5,prepaid,Prepaid 5G 3GB Daily,"{""plan"": {""data"": ""3GB"", ""validity"": ""30 days"", ""price"": 549}, ""device"": null}","High-speed 5G, smooth streaming, gaming ready",549,FALSE,3 GB daily 5G plan for faster usage.,"{""techSpecifications"": """", ""rules"": ""Valid 5G‑compatible SIM required, Service area coverage verification mandatory"", ""staticIPSupported"": false, ""productEquipments"": [27]}","""[2,4,5,6,7,8,9,11,12,13,14,15,16,18,20]""",30
6,prepaid,Prepaid 5G FWA 50GB,"{""plan"": {""data"": ""50GB"", ""validity"": ""30 days"", ""price"": 799}, ""device"": null}","50GB data, 5G broadband backup, up to 100 Mbps",799,FALSE,50GB prepaid 5G FWA plan for backup connectivity.,"{""techSpecifications"": ""Fixed Wireless Access, Speed: 100Mbps"", ""rules"": ""Valid 5G-compatible SIM required, Service area coverage verification mandatory"", ""staticIPSupported"": false,  ""productEquipments"": [27, 28, 31, 32, 33]}","""[1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17]""",30
7,prepaid,Prepaid 5G FWA 100GB,"{""plan"": {""data"": ""100GB"", ""validity"": ""30 days"", ""price"": 1299}, ""device"": null}","100GB data, reliable 5G backup, faster speeds",1299,FALSE,100GB prepaid 5G FWA plan for reliable backup.,"{""techSpecifications"": ""Fixed Wireless Access, Speed: 150Mbps"", ""rules"": ""Valid 5G-compatible SIM required, Service area coverage verification mandatory"", ""staticIPSupported"": false,  ""productEquipments"": [27, 28, 31, 32, 33]}","""[2, 3, 5, 6, 8, 9, 10, 11, 13, 14, 15,16, 18]""",30
8,postpaid,Postpaid 5G FWA 200GB,"{""plan"": {""data"": ""200GB"", ""validity"": ""30 days"", ""price"": 2499}, ""device"": null}","200GB data, postpaid billing, static IP support",2499,TRUE,200GB postpaid 5G FWA plan for high-usage backup.,"{""techSpecifications"": ""Fixed Wireless Access, Speed: 200Mbps"", ""rules"": ""Valid 5G-compatible SIM required, Minimum credit score of 650 required, Service area coverage verification mandatory"", ""staticIPSupported"": true, ""productEquipments"": [27, 28, 31, 32, 33]}","""[1, 2, 4, 5, 7, 8, 9, 10, 12, 14, 15, 17, 20]""",30
9,postpaid,Postpaid 5G FWA 500GB,"{""plan"": {""data"": ""500GB"", ""validity"": ""30 days"", ""price"": 4499}, ""device"": null}","500GB data, ultra-fast 5G, heavy usage ready",4499,TRUE,500GB postpaid 5G FWA plan for heavy-duty backup.,"{""techSpecifications"": ""Fixed Wireless Access, Speed: 300Mbps"", ""rules"": ""Valid 5G-compatible SIM required, Minimum credit score of 700 required, Service area coverage verification mandatory"", ""staticIPSupported"": true, ""productEquipments"": [27, 28, 31, 32, 33]}","""[1, 3, 4, 6, 7, 9, 10, 11, 12, 14, 16, 17,19]""",30
10,postpaid,Postpaid 4G 1GB,"{""plan"": {""data"": ""1GB"", ""validity"": ""30 days"", ""price"": 499}, ""device"": null}","Low monthly cost, postpaid convenience, light usage",499,TRUE,Low‑usage 4G postpaid plan.,"{""techSpecifications"": """", ""rules"": ""Valid 4G‑compatible SIM required, Minimum credit score: 600"", ""staticIPSupported"": false, ""productEquipments"": [26]}","""[1,2,3,5,6,8,9,10,11,12,14,15,17,18,19]""",30
